type,country,state,activity,sex,age,fatal,time,species,year,month
Unprovoked,bahamas,staniel cay,swimming,m,12.0,N,afternoon,,,6
Unprovoked,usa,florida,swimming,f,17.0,N,morning,,,6
Unprovoked,australia,new south wales,swimming,f,35.0,N,morning,great white,,6
Unprovoked,galapogos islands,santa fe island,swimming,f,,N,afternoon,,,6
Unprovoked,usa,florida,swimming,,,N,morning,bull,,6
Unprovoked,australia,western australia,dive fishing,m,35.0,Y,morning,great white,,6
Unprovoked,brazil,recife,swimming,f,19.0,N,afternoon,tiger,,6
Unprovoked,brazil,jaboatao dos guarapes,swimming,m,11.0,N,afternoon,bull,,6
Unprovoked,australia,new south wales,surfing/bodyboarding,,20.0,N,evening,bull,,5
Unprovoked,usa,hawaii,surfing/bodyboarding,m,38.0,N,morning,,,5
Unprovoked,australia,queensland,dive fishing,m,39.0,Y,morning,bull,,5
Unprovoked,hawaii,maui,small watercraft,,,N,,tiger,,5
Unprovoked,australia,western australia,diving,m,38.0,Y,morning,great white,,5
Unprovoked,australia,south australia,surfing/bodyboarding,m,16.0,N,,bronze whaler,,4
Unprovoked,bahamas,andros island,swimming,f,22.0,N,evening,,,3
Unprovoked,australia,south australia,diving,m,,N,,great white,,3
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,,,,3
Unprovoked,usa,california,surfing/bodyboarding,m,39.0,N,evening,great white,,3
Unprovoked,australia,western australia,swimming,f,,N,morning,,,3
Unprovoked,australia,western australia,SUP/foiling,m,,N,morning,great white,,3
Unprovoked,australia,queensland,swimming,,,N,morning,,,3
Unprovoked,new caledonia,noumea,SUP/foiling,m,55.0,Y,,tiger,,2
Unprovoked,cayman islands,little cayman island,diving,m,,N,,tiger,,2
Unprovoked,brazil,recife,swimming,m,13.0,Y,,tiger,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,,1
Unprovoked,australia,tasmania,swimming,f,,N,evening,sevengill,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,39.0,N,morning,bull,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,11.0,N,morning,bull,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,27.0,N,evening,,,1
Unprovoked,australia,new south wales,swimming,m,12.0,Y,afternoon,bull,,1
Unprovoked,usa,california,surfing/bodyboarding,m,26.0,N,morning,great white,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,,1
Unprovoked,us virgin islands,fredricksted island st croix,swimming,f,56.0,Y,afternoon,,,1
Unprovoked,mozambique,inhambe province,diving,m,,Y,,,,1
Unprovoked,mozambique,inhambe province,,,,Y,,,,12
Unprovoked,australia,western australia,diving,m,,N,,great white,,12
Unprovoked,usa,california,swimming,f,55.0,Y,afternoon,great white,,12
Unprovoked,usa,sonoma county california,surfing/bodyboarding,m,,N,morning,great white,,12
Unprovoked,australia,new south wales,swimming,m,26.0,N,morning,bull,,11
Unprovoked,australia,new south wales,swimming,f,25.0,Y,morning,bull,,11
Unprovoked,australia,western australia,SUP/foiling,m,61.0,N,evening,great white,,11
Unprovoked,french polynesia,marquesas islands,swimming,m,40.0,N,,,,11
Unprovoked,usa,hawaii,swimming,m,,N,afternoon,,,11
Unprovoked,usa,texas,fishing,m,,N,,,,11
Unprovoked,samoa,nan,surfing/bodyboarding,m,13.0,N,evening,tiger,,11
Unprovoked,columbia,"bolivar, del isolate",swimming,m,14.0,N,,nurse,,10
Unprovoked,australia,queensland,fishing,m,14.0,N,evening,tiger,,10
Unprovoked,australia,south australia,surfing/bodyboarding,m,,N,afternoon,bronze whaler,,10
Unprovoked,usa,off california,swimming,m,54.0,N,night,,,9
Unprovoked,australia,new south wales,surfing/bodyboarding,m,57.0,Y,morning,great white,,9
Unprovoked,usa,florida,swimming,m,8.0,N,afternoon,,,9
Unprovoked,usa,texas,swimming,f,8.0,N,,,,8
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,great white,,8
Unprovoked,bahamas,atlantic ocean near big grand cay,dive fishing,m,63.0,N,afternoon,,,8
Unprovoked,australia,new south wales,surfing/bodyboarding,m,9.0,N,afternoon,great white,,8
Unprovoked,puerto rico,carolina,wading,f,39.0,N,,,,8
Unprovoked,australia,south australia,small watercraft,m,19.0,N,morning,great white,,7
Unprovoked,french polynesia,nuku hiva,swimming,m,7.0,N,,,,7
Unprovoked,spain,majorca,swimming,,85.0,N,morning,,,7
Unprovoked,canary islands,fuerteventura,SUP/foiling,m,,N,evening,,,7
Unprovoked,usa,florida,diving,m,69.0,N,,lemon,,7
Unprovoked,usa,florida,surfing/bodyboarding,m,18.0,N,morning,,,7
Unprovoked,bahamas,great abaco islands,dive fishing,m,66.0,N,,bull,,7
Unprovoked,usa,florida,surfing/bodyboarding,m,40.0,N,afternoon,,,7
Unprovoked,south africa,kwazulu-natal,fishing,m,37.0,Y,evening,,,7
Unprovoked,australia,new south wales,swimming,m,16.0,N,afternoon,bull,,6
Unprovoked,usa,long island ny,swimming,f,20.0,N,afternoon,raggedtooth,,6
Unprovoked,usa,south carolina,swimming,f,,N,afternoon,,,6
Unprovoked,usa,south carolina,swimming,f,12.0,N,afternoon,,,6
Unprovoked,usa,florida,swimming,f,9.0,N,afternoon,bull,2025,6
Unprovoked,usa,california,surfing/bodyboarding,m,42.0,N,afternoon,great white,,5
Unprovoked,usa,north carolina,swimming,m,26.0,N,morning,,2025,5
Unprovoked,vanuatu,south santo,swimming,m,14.0,Y,evening,,2025,5
Unprovoked,australia,south australia,swimming,m,66.0,N,morning,,2025,5
Unprovoked,jamaica,montego bay,surfing/bodyboarding,f,26.0,N,,,2025,5
Unprovoked,israel,hadera,diving,m,45.0,Y,afternoon,dusky,2025,4
Unprovoked,usa,florida,,m,,N,afternoon,,2025,4
Unprovoked,australia,wa,swimming,m,,N,afternoon,tiger,2025,3
Unprovoked,australia,wa,surfing/bodyboarding,m,37.0,Y,afternoon,great white,2025,3
Unprovoked,australia,new south wales,swimming,,56.0,N,afternoon,bull,2025,3
Unprovoked,australia,victoria,swimming,m,,N,,,2025,2
Unprovoked,australia,western australia,small watercraft,f,35.0,N,morning,,2025,2
Unprovoked,australia,queensland,swimming,m,29.0,N,afternoon,,2025,2
Unprovoked,bahamas,nan,swimming,f,24.0,N,evening,bull,2025,2
Unprovoked,bahamas,nan,swimming,f,20.0,N,evening,bull,2025,2
Unprovoked,turks and caicos,near five cays settlement west caicos,swimming,f,55.0,N,,bull,2025,2
Unprovoked,australia,queensland,swimming,f,17.0,Y,afternoon,bull,2025,2
Unprovoked,australia,western australia,wading,m,12.0,N,evening,,2025,1
Unprovoked,australia,western australia,surfing/bodyboarding,m,37.0,N,afternoon,bronze whaler,2025,1
Unprovoked,mozambique,inhambane province,dive fishing,m,36.0,Y,afternoon,,2025,1
Unprovoked,new caledonia,grande terre,dive fishing,m,40.0,Y,afternoon,tiger,2025,1
Unprovoked,australia,south australia,surfing/bodyboarding,m,28.0,Y,evening,great white,2025,1
Unprovoked,mozambique,?,diving,,,Y,,,2024,12
Unprovoked,egypt,north of marsa alam,diving,m,69.0,N,,tiger,2024,12
Unprovoked,egypt,north of marsa alam,diving,m,48.0,Y,,tiger,2024,12
Unprovoked,australia,queensland,dive fishing,m,40.0,Y,afternoon,,2024,12
Unprovoked,australia,queensland,dive fishing,m,,N,,,2024,12
Unprovoked,australia,western australia,surfing/bodyboarding,m,,N,,,2024,12
Unprovoked,thailand,phang nga province,swimming,f,57.0,N,,,2024,11
Unprovoked,new zealand,bay of waitangi,diving,m,24.0,Y,morning,great white,2024,11
Unprovoked,maldives,kaafu,diving,f,45.0,N,,,2024,11
Unprovoked,hawaii,maui,surfing/bodyboarding,m,61.0,N,,,2024,11
Unprovoked,australia,queensland,swimming,f,57.0,N,afternoon,tiger,2024,10
Unprovoked,usa,florida,surfing/bodyboarding,m,27.0,N,morning,tiger,2024,10
Unprovoked,honduras,tela,swimming,m,38.0,N,,bull,2024,10
Unprovoked,usa,florida,surfing/bodyboarding,m,16.0,N,,bull,2024,10
Unprovoked,honduras,trujillo colon,fishing,m,33.0,N,,bull,2024,9
Unprovoked,morocco,southern morocco,swimming,f,30.0,Y,afternoon,great white,2024,9
Unprovoked,jamaica,montego bay,dive fishing,m,16.0,Y,,tiger,2024,8
Unprovoked,belize,gulf of honduras,diving,f,15.0,N,morning,reef,2024,8
Unprovoked,australia,new south wales,surfing/bodyboarding,m,23.0,N,morning,great white,2024,7
Unprovoked,australia,western australia,surfing/bodyboarding,m,41.0,N,evening,,2024,7
Unprovoked,usa,florida,diving,m,14.0,N,morning,blacktip,2024,7
Unprovoked,australia,western australia,dive fishing,m,43.0,N,morning,,2024,7
Unprovoked,usa,florida,wading,m,26.0,N,afternoon,,2024,7
Unprovoked,usa,texas,swimming,f,,N,,bull,2024,7
Unprovoked,usa,texas,swimming,f,18.0,N,,,2024,7
Unprovoked,usa,texas,swimming,f,18.0,N,,,2024,7
Unprovoked,usa,floria,swimming,m,21.0,N,morning,,2024,7
Unprovoked,usa,florida,swimming,m,,N,morning,,2024,7
Unprovoked,usa,hawaii,swimming,f,25.0,N,afternoon,tiger,2024,6
Unprovoked,usa,florida,wading,f,15.0,N,,bull,2024,6
Unprovoked,usa,florida,swimming,f,45.0,N,afternoon,bull,2024,6
Unprovoked,usa,california,swimming,m,46.0,N,,,2024,6
Unprovoked,maldive islands,maahvah laamu atoll,swimming,m,23.0,Y,afternoon,,2024,6
Unprovoked,usa,galveston,wading,f,19.0,N,,,2024,5
Unprovoked,turks and caicos,providenciales island,swimming,m,27.0,N,afternoon,,2024,5
Unprovoked,french polynesia,gambier islands,diving,m,20.0,N,,,2024,5
Unprovoked,usa,south carolina,dive fishing,m,65.0,N,afternoon,,2024,5
Unprovoked,tobago,graet courland bay,swimming,m,64.0,N,morning,bull,2024,4
Unprovoked,bahamas,clarence town long isand,adrift,m,24.0,N,,reef,2024,4
Unprovoked,australia,south australia,fishing,m,16.0,N,afternoon,great white,2024,4
Unprovoked,australia,western australia,surfing/bodyboarding,m,26.0,N,afternoon,,2024,4
Unprovoked,maldive islands,nunu atoll,swimming,m,,N,,,2024,4
Unprovoked,australia,queensland,swimming,f,13.0,N,afternoon,tiger,2024,3
Unprovoked,usa,hawaii,surfing/bodyboarding,m,,N,,tiger,2024,3
Unprovoked,usa,hawaii,swimming,f,11.0,N,afternoon,,2024,3
Unprovoked,australia,western australia,swimming,f,46.0,N,morning,tiger,2024,2
Unprovoked,india,maharashtra,fishing,m,32.0,N,,bull,2024,2
Unprovoked,australia,new  south wales,swimming,f,29.0,N,evening,bull,2024,1
Unprovoked,bahamas,paradise island,swimming,m,10.0,N,afternoon,,2024,1
Unprovoked,australia,south australia,surfing/bodyboarding,m,64.0,N,afternoon,great white,2024,1
Unprovoked,usa,hawaii,surfing/bodyboarding,m,39.0,Y,morning,,2023,12
Unprovoked,mexico,sonora,diving,m,22.0,Y,afternoon,great white,2023,12
Unprovoked,australia,south australia,surfing/bodyboarding,m,15.0,Y,afternoon,great white,2023,12
Unprovoked,australia,new south wales,surfing/bodyboarding,m,16.0,N,afternoon,,2023,12
Unprovoked,australia,western australia,SUP/foiling,m,46.0,N,afternoon,bronze whaler,2023,12
Unprovoked,new zealand,south island,wading,f,21.0,N,night,sevengill,2023,12
Unprovoked,australia,queensland,swimming,m,20.0,N,afternoon,,2023,12
Unprovoked,bahamas,new providence   isoad,SUP/foiling,f,44.0,Y,morning,,2023,12
Unprovoked,mexico,jalisco,swimming,f,26.0,Y,morning,,2023,12
Unprovoked,australia,queensland,swimming,m,21.0,N,morning,bull,2023,11
Unprovoked,bahamas,grand  bahama island,diving,f,47.0,Y,morning,,2023,11
Unprovoked,australia,south australia,diving,f,32.0,N,afternoon,,2023,11
Unprovoked,usa,florida,swimming,m,66.0,N,morning,,2023,11
Unprovoked,australia,westerm australia,dive fishing,m,,N,afternoon,lemon,2023,11
Unprovoked,new zealand,north island,diving,m,,N,morning,great white,2023,11
Unprovoked,australia,south australia,surfing/bodyboarding,m,55.0,Y,morning,great white,2023,10
Unprovoked,usa,hawaii,surfing/bodyboarding,m,30.0,N,afternoon,tiger,2023,10
Unprovoked,belize,belize district,swimming,f,8.0,N,,nurse,2023,10
Unprovoked,usa,hawaii,surfing/bodyboarding,m,50.0,N,afternoon,tiger,2023,10
Unprovoked,usa,california,surfing/bodyboarding,m,52.0,N,afternoon,,2023,10
Unprovoked,usa,hawaii,surfing/bodyboarding,f,45.0,N,afternoon,galapagos,2023,10
Unprovoked,australia,south australia,swimming,f,64.0,N,morning,,2023,10
Unprovoked,usa,california,swimming,m,52.0,Y,morning,,2023,10
Unprovoked,usa,south carolina,swimming,m,,N,afternoon,,2023,9
Unprovoked,egypt,south sinai,swimming,f,34.0,N,,tiger,2023,9
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,,,2023,9
Unprovoked,usa,florida,surfing/bodyboarding,m,35.0,N,,,2023,9
Unprovoked,usa,florida,wading,f,37.0,N,,,2023,9
Unprovoked,usa,north carolina,wading,,9.0,N,morning,,2023,8
Unprovoked,spain,valencia,wading,m,35.0,N,afternoon,blue,2023,8
Unprovoked,samoa,savai'i island,swimming,m,,Y,evening,,2023,8
Unprovoked,usa,new york,wading,f,65.0,N,evening,,2023,8
Unprovoked,usa,florida,surfing/bodyboarding,m,22.0,N,morning,,2023,7
Unprovoked,usa,florida,dive fishing,m,22.0,N,afternoon,,2023,7
Unprovoked,usa,florida,swimming,f,26.0,N,evening,,2023,7
Unprovoked,australia,western australia,surfing/bodyboarding,m,25.0,N,morning,great white,2023,7
Unprovoked,australia,western australia,swimming,m,77.0,N,,wobbegong,2023,7
Unprovoked,usa,south carolina,surfing/bodyboarding,m,60.0,N,afternoon,,2023,7
Unprovoked,colombia,san andrés island,diving,m,38.0,N,afternoon,whitetip,2023,7
Unprovoked,usa,florida,wading,m,49.0,N,afternoon,,2023,7
Unprovoked,usa,florida,surfing/bodyboarding,m,21.0,N,afternoon,,2023,7
Unprovoked,ecuador,galapagos islands,swimming,f,42.0,N,,,2023,7
Unprovoked,usa,new york,wading,f,,N,afternoon,,2023,7
Unprovoked,usa,new york,swimming,m,49.0,N,afternoon,,2023,7
Unprovoked,usa,new york,swimming,m,47.0,N,afternoon,,2023,7
Unprovoked,usa,new york,surfing/bodyboarding,m,15.0,N,evening,,2023,7
Unprovoked,usa,new york,swimming,f,15.0,N,afternoon,raggedtooth,2023,7
Unprovoked,usa,florida,swimming,f,,N,,,2023,6
Unprovoked,usa,florida,fishing,m,,N,morning,,2023,6
Unprovoked,usa,hawaii,,m,,N,,tiger,2023,6
Unprovoked,egypt,red sea protectorate,swimming,m,24.0,Y,afternoon,tiger,2023,6
Unprovoked,french polynesia,tahiti,surfing/bodyboarding,f,25.0,N,afternoon,reef,2023,5
Unprovoked,new caledonia,poum,dive fishing,m,42.0,Y,morning,,2023,5
Unprovoked,turks and caicos,providenciales island,swimming,f,22.0,N,afternoon,reef,2023,5
Unprovoked,usa,new jersey,surfing/bodyboarding,f,15.0,N,afternoon,,2023,5
Unprovoked,usa,florida,dive fishing,m,20.0,N,afternoon,,2023,5
Unprovoked,usa,south carolina,swimming,f,24.0,N,evening,,2023,5
Unprovoked,australia,south australia,surfing/bodyboarding,m,46.0,Y,morning,great white,2023,5
Unprovoked,usa,florida,wading,f,13.0,N,afternoon,bull,2023,5
Unprovoked,usa,florida,dive fishing,m,22.0,N,morning,,2023,5
Unprovoked,south africa,easten cape province,surfing/bodyboarding,m,55.0,N,evening,,2023,5
Unprovoked,south africa,easten cape province,fishing,m,39.0,N,,,2023,5
Unprovoked,australia,western australia,swimming,m,,N,morning,,2023,4
Unprovoked,australia,western australia,swimming,m,11.0,N,afternoon,,2023,4
Unprovoked,usa,florida,dive fishing,m,,N,,bull,2023,4
Unprovoked,australia,western australia,surfing/bodyboarding,m,30.0,N,morning,bronze whaler,2023,4
Unprovoked,usa,florida,surfing/bodyboarding,f,55.0,N,afternoon,,2023,4
Unprovoked,usa,hawaii,surfing/bodyboarding,m,58.0,N,morning,tiger,2023,4
Unprovoked,usa,florida,surfing/bodyboarding,m,67.0,N,afternoon,,2023,3
Unprovoked,australia,western australia,wading,m,35.0,N,evening,,2023,3
Unprovoked,usa,hawaii,swimming,m,60.0,N,afternoon,reef,2023,3
Unprovoked,australia,western australia,small watercraft,f,,N,morning,,2023,3
Unprovoked,brazil,pernambuco,swimming,f,15.0,N,afternoon,,2023,3
Unprovoked,brazil,pernambuco,swimming,m,14.0,N,,,2023,3
Unprovoked,brazil,pernambuco,surfing/bodyboarding,m,32.0,N,afternoon,,2023,2
Unprovoked,usa,florida,surfing/bodyboarding,m,60.0,N,evening,,2023,2
Unprovoked,australia,western australia,swimming,f,16.0,Y,afternoon,bull,2023,2
Unprovoked,australia,queensland,fishing,m,8.0,N,,,2023,1
Unprovoked,new caledonia,south province,swimming,m,49.0,N,morning,bull,2023,1
Unprovoked,usa,florida,swimming,m,34.0,N,afternoon,,2023,1
Unprovoked,mexico,gulf of california,diving,m,53.0,Y,morning,,2023,1
Unprovoked,usa,hawaii,swimming,m,68.0,N,morning,tiger,2022,12
Unprovoked,australia,new south ales,swimming,m,15.0,N,afternoon,,2022,12
Unprovoked,usa,samoa,diving,m,43.0,N,afternoon,,2022,12
Unprovoked,usa,hawaii,swimming,f,60.0,Y,afternoon,tiger,2022,12
Unprovoked,usa,texas,surfing/bodyboarding,m,,N,,blacktip,2022,12
Unprovoked,usa,florida,swimming,f,10.0,N,afternoon,,2022,11
Unprovoked,usa,california,swimming,f,50.0,N,morning,great white,2022,11
Unprovoked,usa,california,surfing/bodyboarding,m,,N,evening,,2022,10
Unprovoked,bahamas,nan,diving,m,,N,,,2022,10
Unprovoked,usa,hawaii,swimming,m,51.0,N,afternoon,tiger,2022,10
Unprovoked,australia,south australia,small watercraft,m,19.0,N,morning,,2022,10
Unprovoked,usa,louisiana,adrift,m,40.0,N,,,2022,10
Unprovoked,australia,western  australia,dive fishing,m,38.0,N,morning,bull,2022,10
Unprovoked,australia,victoria,surfing/bodyboarding,m,17.0,N,evening,,2022,10
Unprovoked,usa,california,surfing/bodyboarding,m,31.0,N,afternoon,great white,2022,10
Unprovoked,south africa,western cape province,swimming,f,39.0,Y,morning,great white,2022,9
Unprovoked,usa,florida,dive fishing,m,26.0,N,,bull,2022,9
Unprovoked,bahamas,nan,swimming,f,58.0,Y,afternoon,bull,2022,9
Unprovoked,usa,hawaii,swimming,f,51.0,N,afternoon,,2022,9
Unprovoked,australia,new south wales,surfing/bodyboarding,m,14.0,N,morning,bronze whaler,2022,8
Unprovoked,australia,new south wales,small watercraft,m,,N,,great white,2022,8
Unprovoked,usa,south carolina,swimming,f,,N,morning,,2022,8
Unprovoked,usa,south carolina,wading,f,,N,afternoon,blacktip,2022,8
Unprovoked,australia,westerm australia,dive fishing,m,17.0,N,,great white,2022,8
Unprovoked,usa,florida,swimming,m,10.0,N,afternoon,bull,2022,8
Unprovoked,usa,california,SUP/foiling,m,,N,morning,,2022,8
Unprovoked,united kingdom,cornwall,swimming,f,,N,afternoon,blue,2022,7
Unprovoked,usa,florida,dive fishing,m,13.0,N,,nurse,2022,7
Unprovoked,usa,florida,wading,m,33.0,N,afternoon,blacktip,2022,7
Unprovoked,usa,new york,surfing/bodyboarding,m,16.0,N,evening,,2022,7
Unprovoked,usa,noirth carolina,surfing/bodyboarding,f,,N,morning,,2022,7
Unprovoked,usa,florida,,f,40.0,N,afternoon,,2022,7
Unprovoked,usa,new york,,m,49.0,N,evening,,2022,7
Unprovoked,usa,new york,surfing/bodyboarding,m,41.0,N,morning,tiger,2022,7
Unprovoked,usa,florida,surfing/bodyboarding,m,35.0,N,,,2022,7
Unprovoked,usa,new york,swimming,m,17.0,N,morning,,2022,7
Unprovoked,japan,okinawa,swimming,m,60.0,Y,,,2022,7
Unprovoked,usa,florida,surfing/bodyboarding,m,28.0,N,morning,,2022,7
Unprovoked,usa,new york,swimming,m,,N,morning,,2022,7
Unprovoked,indonesia,bali,surfing/bodyboarding,f,,N,,,2022,7
Unprovoked,egypt,"hurghada, red sea governorate",swimming,f,45.0,Y,,whitetip,2022,7
Unprovoked,egypt,"hurghada, red sea governorate",swimming,f,68.0,Y,,whitetip,2022,7
Unprovoked,usa,new york,swimming,m,,N,afternoon,,2022,6
Unprovoked,usa,florida,dive fishing,f,17.0,N,afternoon,,2022,6
Unprovoked,usa,florida,swimming,f,35.0,N,evening,,2022,6
Unprovoked,usa,florida,swimming,m,,N,afternoon,,2022,6
Unprovoked,south africa,western cape province,swimming,m,,Y,afternoon,,2022,6
Unprovoked,jamaica,nan,fishing,m,,N,afternoon,tiger,2022,6
Unprovoked,usa,florida,,f,,N,,,2022,6
Unprovoked,usa,california,swimming,m,62.0,N,morning,great white,2022,6
Unprovoked,usa,south carolina,,m,,N,,,2022,6
Unprovoked,australia,western australia,swimming,f,,N,afternoon,,2022,6
Unprovoked,australia,western australia,surfing/bodyboarding,,,N,,bronze whaler,2022,5
Unprovoked,australia,western australia,diving,m,20.0,N,,bull,2022,5
Unprovoked,maldives,nan,fishing,m,62.0,N,,,2022,5
Unprovoked,french polynesia,bora bora,,,,N,,,2022,5
Unprovoked,thailand,phuket,swimming,m,8.0,N,afternoon,,2022,5
Unprovoked,french polynesia,tahiti,,m,22.0,N,morning,tiger,2022,4
Unprovoked,australia,nan,SUP/foiling,m,32.0,N,,,2022,4
Unprovoked,usa,florida,,,56.0,N,afternoon,,2022,4
Unprovoked,usa,alabama,swimming,m,17.0,N,afternoon,,2022,4
Unprovoked,usa,florida,wading,m,,N,afternoon,,2022,4
Unprovoked,usa,florida,small watercraft,m,,N,morning,,2022,4
Unprovoked,columbia,isla de san andres,swimming,m,56.0,Y,,tiger,2022,3
Unprovoked,new zealand,south island,surfing/bodyboarding,m,,N,,,2022,3
Unprovoked,australia,new south wales,surfing/bodyboarding,m,32.0,N,afternoon,bull,2022,3
Unprovoked,australia,new south wales,swimming,m,,N,afternoon,,2022,3
Unprovoked,usa,florida,surfing/bodyboarding,m,20.0,N,afternoon,,2022,3
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,2022,3
Unprovoked,usa,california,surfing/bodyboarding,m,42.0,Y,morning,great white,2022,2
Unprovoked,australia,queensland,fishing,m,,N,,tiger,2022,2
Unprovoked,australia,new south wales,swimming,m,36.0,Y,afternoon,,2022,2
Unprovoked,mexico,sonora,diving,m,56.0,Y,morning,,2022,2
Unprovoked,usa,florida,surfing/bodyboarding,m,18.0,N,evening,,2022,2
Unprovoked,australia,western australia,swimming,f,20.0,N,morning,great white,2022,2
Unprovoked,australia,new south wales,swimming,m,,N,,wobbegong,2022,1
Unprovoked,australia,western australia,swimming,m,,N,,wobbegong,2022,1
Unprovoked,new zealand,south island,swimming,f,13.0,N,afternoon,sevengill,2022,1
Unprovoked,usa,florida,SUP/foiling,f,42.0,N,afternoon,spinner,2022,1
Unprovoked,australia,new south wales,,f,42.0,N,morning,,2022,1
Unprovoked,australia,western australia,surfing/bodyboarding,m,45.0,N,,,2022,1
Unprovoked,new zealand,south island,swimming,f,9.0,N,,,2021,12
Unprovoked,usa,los angeles,surfing/bodyboarding,m,31.0,Y,morning,great white,2021,12
Unprovoked,usa,florida,SUP/foiling,f,42.0,N,,spinner,2021,12
Unprovoked,australia,queensland,dive fishing,m,24.0,N,morning,bull,2021,12
Unprovoked,mexico,quintana roo,diving,m,14.0,N,,,2021,12
Unprovoked,australia,victoria,swimming,f,15.0,N,evening,,2021,12
Unprovoked,australia,victoria,swimming,m,15.0,N,evening,,2021,12
Unprovoked,usa,hawaii,surfing/bodyboarding,m,,N,,reef,2021,12
Unprovoked,usa,hawaii,dive fishing,f,27.0,N,morning,,2021,11
Unprovoked,australia,western australia,swimming,m,57.0,Y,morning,,2021,11
Unprovoked,brazil,são paulo.,swimming,m,,N,,,2021,11
Unprovoked,new zealand,north island,surfing/bodyboarding,m,26.0,N,,sevengill,2021,11
Unprovoked,australia,queensland,swimming,m,34.0,N,evening,,2021,10
Unprovoked,usa,florida,surfing/bodyboarding,m,25.0,N,,,2021,10
Unprovoked,usa,florida,swimming,m,,N,afternoon,,2021,10
Unprovoked,usa,california,surfing/bodyboarding,m,38.0,N,morning,,2021,10
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,afternoon,,2021,9
Unprovoked,australia,new south wales,surfing/bodyboarding,m,31.0,Y,morning,great white,2021,9
Unprovoked,british overseas territory,turks and caicos,,m,,N,,,2021,9
Unprovoked,usa,louisiana,adrift,m,64.0,N,afternoon,,2021,9
Unprovoked,usa,texas,surfing/bodyboarding,m,,N,morning,,2021,8
Unprovoked,usa,florida,surfing/bodyboarding,m,41.0,N,morning,bull,2021,8
Unprovoked,canada,nova scotia,swimming,f,21.0,N,evening,,2021,8
Unprovoked,usa,florida,surfing/bodyboarding,m,35.0,N,morning,,2021,8
Unprovoked,usa,florida,swimming,m,15.0,N,morning,,2021,8
Unprovoked,usa,south carolina,,m,,N,morning,blacktip,2021,8
Unprovoked,usa,maryland,swimming,f,12.0,N,afternoon,blacktip,2021,8
Unprovoked,usa,north carolina,wading,m,15.0,N,afternoon,,2021,7
Unprovoked,usa,georgia,surfing/bodyboarding,m,58.0,N,,blacktip,2021,7
Unprovoked,usa,new york,swimming,m,,N,morning,,2021,7
Unprovoked,brazil,pernambuco,wading,m,32.0,N,,,2021,7
Unprovoked,usa,california,surfing/bodyboarding,f,,N,,,2021,7
Unprovoked,australia,western australia,surfing/bodyboarding,m,,N,afternoon,great white,2021,7
Unprovoked,usa,florida,surfing/bodyboarding,m,11.0,N,afternoon,,2021,7
Unprovoked,south africa,eastern cape province,surfing/bodyboarding,m,38.0,N,morning,,2021,7
Unprovoked,usa,florida,swimming,f,9.0,N,afternoon,spinner,2021,7
Unprovoked,usa,florida,dive fishing,m,36.0,Y,,,2021,7
Unprovoked,brazil,pernambuco,wading,m,51.0,Y,afternoon,,2021,7
Unprovoked,australia,new south wales,surfing/bodyboarding,m,25.0,N,afternoon,great white,2021,7
Unprovoked,usa,florida,wading,m,8.0,N,afternoon,,2021,7
Unprovoked,ecuador,galapagos,diving,m,31.0,N,,galapagos,2021,7
Unprovoked,usa,california,small watercraft,m,15.0,N,morning,,2021,6
Unprovoked,usa,north carolina,swimming,f,7.0,N,morning,,2021,6
Unprovoked,usa,california,swimming,m,38.0,N,morning,great white,2021,6
Unprovoked,jordan,aqaba,adrift,m,36.0,N,,,2021,6
Unprovoked,australia,western australia,surfing/bodyboarding,m,25.0,N,afternoon,,2021,6
Unprovoked,usa,florida,wading,m,12.0,N,afternoon,,2021,6
Unprovoked,usa,florida,swimming,m,14.0,N,afternoon,,2021,6
Unprovoked,usa,florida,wading,m,12.0,N,,,2021,6
Unprovoked,usa,florida,wading,m,71.0,N,,,2021,6
Unprovoked,australia,western australia,swimming,m,10.0,N,morning,bronze whaler,2021,6
Unprovoked,usa,south carolina,swimming,m,26.0,N,,,2021,5
Unprovoked,australia,western australia,dive fishing,m,48.0,N,morning,,2021,5
Unprovoked,australia,new south wales,surfing/bodyboarding,m,59.0,Y,morning,great white,2021,5
Unprovoked,usa,hawaii,SUP/foiling,m,35.0,N,afternoon,tiger,2021,5
Unprovoked,usa,florida,wading,f,21.0,N,morning,,2021,5
Unprovoked,usa,hawaii,surfing/bodyboarding,m,14.0,N,afternoon,,2021,5
Unprovoked,jamaica,westmoreland parish,dive fishing,m,53.0,Y,morning,,2021,5
Unprovoked,usa,florida,surfing/bodyboarding,f,64.0,N,morning,,2021,4
Unprovoked,usa,florida,surfing/bodyboarding,m,54.0,N,morning,,2021,4
Unprovoked,french polynesia,tahiti,small watercraft,m,25.0,N,morning,,2021,4
